Köln Turiner Str.;VKTU;50674;Köln;;Turiner Straße;2567345;5646228;GK;49;
M.-gladb. Fr.-Ebert-Str;VMGF;;Mönchengladbach;;;;;;;
M.-gladb. Düsseld. Str.;VMGR;41238;Mönchengladbach;Rheydt;Düsseldorfer Str.;2532133;5670655;GK;51;
Münster Weseler Straße;VMS2;;Münster;;;;;;;
Solingen Kon.-Aden.-str;VSGK;42651;Solingen;;Konrad-Adenauer-Straße;2575851;5671802;GK;222;21
Wuppertal Gathe;VWEL;42107;Wuppertal;;Gathe / Wilhelmstraße;2580133;5681273;GK;160;
Duisburg-Walsum;WALS;47179;Duisburg;Walsum;Sonnenstraße;2551983;5710211;GK;28;
Warstein;WAST;59581;Warstein;;Rangetriftweg;3455625;5701125;GK;315;
Wesel-Feldmark;WESE;46485;Wesel;Feldmark;Mercatorstraße;2543593;5726687;GK;25;
Witten-Annen;WIT2;58455;Witten;Mitte;Westfalenstraße (am Sportplatz);2594482;5701948;GK;105;
Wuppertal-Langerfeld;WULA;42389;Wuppertal;Langerfeld;Am Buchenloh;2585999;5683256;GK;186;
